variable,label,has_value_labels,used_by_project
qb9.5,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: DIFFERENT UNEMPL BENEFITS QUALIFYING PERIODS,True,False
qb9.6,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: COULD NOT REGISTER AS UNEMPLOYED IN CNTRY OF LAST JOB,True,False
qb9.7,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: DIFFICULTIES CALCULATING PENSION,True,False
qb9.8,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: DIFFICULTIES ASSESSING HEALTHCARE/OTHER BENEFITS,True,False
qb9.9,PRACTICAL DIFFICULTIES WHEN MOVED TO OTH EU CNTRY IN PAST 5YRS: OTHER (SPONT),True,False
qb9.10,PRACTICAL DIFFICULTIES WHEN MOVED IN PAST 5YRS: NONE/NO PRACTICAL DIFFICULTIES (SPONT),True,False
qb9.11,PRACTICAL DIFFICULTIES WHEN MOVED IN PAST 5YRS: DK (SPONT),True,False
qb10,WHAT SHLD EU DO TO ENSURE FAIR GREEN & DIGITAL TRANSITION,True,False
qb11,WILL THERE BE A MORE SOCIAL EUROPE IN 2030,True,False
qc1a,RISKS CNTRY MOST EXPOSED TO - FIRSTLY,True,False
qc1b.1,RISKS CNTRY MOST EXPOSED TO 2ND: MAJOR ACCIDENTS,True,False
qc1b.2,RISKS CNTRY MOST EXPOSED TO 2ND: NUCLEAR ACCIDENTS,True,False
qc1b.3,RISKS CNTRY MOST EXPOSED TO 2ND: CRIT INFRASTRUCTURE DISRUPTION,True,False
qc1b.4,RISKS CNTRY MOST EXPOSED TO 2ND: HUMAN HEALTH EMERGENCY,True,False
qc1b.5,RISKS CNTRY MOST EXPOSED TO 2ND: ANIMAL/PLANT DISEASE OUTBREAK,True,False
qc1b.6,RISKS CNTRY MOST EXPOSED TO 2ND: FLOODS,True,False
qc1b.7,RISKS CNTRY MOST EXPOSED TO 2ND: WILDFIRE/FOREST FIRES,True,False
qc1b.8,RISKS CNTRY MOST EXPOSED TO 2ND: GEOLOGICAL DISASTERS,True,False
qc1b.9,RISKS CNTRY MOST EXPOSED TO 2ND: EXTREME WEATHER EVENTS,True,False
qc1b.10,RISKS CNTRY MOST EXPOSED TO 2ND: TERRORIST ATTACKS,True,False
qc1b.11,RISKS CNTRY MOST EXPOSED TO 2ND: CYBERSECURITY THREATS,True,False
qc1b.12,RISKS CNTRY MOST EXPOSED TO 2ND: POLITICAL/GEO-POLITICAL TENSIONS,True,False
qc1b.13,RISKS CNTRY MOST EXPOSED TO 2ND: MASS POPULATION DISPLACEMENT IN EMERGENCIES,True,False
qc1b.14,RISKS CNTRY MOST EXPOSED TO 2ND: OTHER,True,False
qc1b.15,RISKS CNTRY MOST EXPOSED TO 2ND: DK (SPONT),True,False
qc1t.1,RISKS CNTRY MOST EXPOSED TO: MAJOR ACCIDENTS (SUM),True,False
qc1t.2,RISKS CNTRY MOST EXPOSED TO: NUCLEAR ACCIDENTS (SUM),True,False
qc1t.3,RISKS CNTRY MOST EXPOSED TO: CRIT INFRASTRUCTURE DISRUPTION (SUM),True,False
qc1t.4,RISKS CNTRY MOST EXPOSED TO: HUMAN HEALTH EMERGENCY (SUM),True,False
qc1t.5,RISKS CNTRY MOST EXPOSED TO: ANIMAL/PLANT DISEASE OUTBREAK (SUM),True,False
qc1t.6,RISKS CNTRY MOST EXPOSED TO: FLOODS (SUM),True,False
qc1t.7,RISKS CNTRY MOST EXPOSED TO: WILDFIRE/FOREST FIRES (SUM),True,False
qc1t.8,RISKS CNTRY MOST EXPOSED TO: GEOLOGICAL DISASTERS (SUM),True,False
qc1t.9,RISKS CNTRY MOST EXPOSED TO: EXTREME WEATHER EVENTS (SUM),True,False
qc1t.10,RISKS CNTRY MOST EXPOSED TO: TERRORIST ATTACKS (SUM),True,False
qc1t.11,RISKS CNTRY MOST EXPOSED TO: CYBERSECURITY THREATS (SUM),True,False
qc1t.12,RISKS CNTRY MOST EXPOSED TO: POLITICAL/GEO-POLITICAL TENSIONS (SUM),True,False
qc1t.13,RISKS CNTRY MOST EXPOSED TO: MASS POPULATION DISPLACEMENT IN EMERGENCIES (SUM),True,False
qc1t.14,RISKS CNTRY MOST EXPOSED TO: OTHER (SUM),True,False
qc1t.15,RISKS CNTRY MOST EXPOSED TO: DK (SPONT) (QC1A ONLY),True,False
qc1t,RISKS CNTRY MOST EXPOSED TO _ NUMBER OF MENTIONED RISKS,True,False
qc2a,RISKS PERS MOST EXPOSED TO - FIRSTLY,True,False
qc2b.1,RISKS PERS MOST EXPOSED TO 2ND: MAJOR ACCIDENTS,True,False
qc2b.2,RISKS PERS MOST EXPOSED TO 2ND: NUCLEAR ACCIDENTS,True,False
qc2b.3,RISKS PERS MOST EXPOSED TO 2ND: CRIT INFRASTRUCTURE DISRUPTION,True,False
qc2b.4,RISKS PERS MOST EXPOSED TO 2ND: HUMAN HEALTH EMERGENCY,True,False
qc2b.5,RISKS PERS MOST EXPOSED TO 2ND: ANIMAL/PLANT DISEASE OUTBREAK,True,False
qc2b.6,RISKS PERS MOST EXPOSED TO 2ND: FLOODS,True,False
qc2b.7,RISKS PERS MOST EXPOSED TO 2ND: WILDFIRE/FOREST FIRES,True,False
qc2b.8,RISKS PERS MOST EXPOSED TO 2ND: GEOLOGICAL DISASTERS,True,False
qc2b.9,RISKS PERS MOST EXPOSED TO 2ND: EXTREME WEATHER EVENTS,True,False
qc2b.10,RISKS PERS MOST EXPOSED TO 2ND: TERRORIST ATTACKS,True,False
qc2b.11,RISKS PERS MOST EXPOSED TO 2ND: CYBERSECURITY THREATS,True,False
qc2b.12,RISKS PERS MOST EXPOSED TO 2ND: POLITICAL/GEO-POLITICAL TENSIONS,True,False
qc2b.13,RISKS PERS MOST EXPOSED TO 2ND: MASS POPULATION DISPLACEMENT IN EMERGENCIES,True,False
qc2b.14,RISKS PERS MOST EXPOSED TO 2ND: OTHER,True,False
qc2b.15,RISKS PERS MOST EXPOSED TO 2ND: DK (SPONT),True,False
qc2t.1,RISKS PERS MOST EXPOSED TO: MAJOR ACCIDENTS (SUM),True,False
qc2t.2,RISKS PERS MOST EXPOSED TO: NUCLEAR ACCIDENTS (SUM),True,False
qc2t.3,RISKS PERS MOST EXPOSED TO: CRIT INFRASTRUCTURE DISRUPTION (SUM),True,False
qc2t.4,RISKS PERS MOST EXPOSED TO: HUMAN HEALTH EMERGENCY (SUM),True,False
qc2t.5,RISKS PERS MOST EXPOSED TO: ANIMAL/PLANT DISEASE OUTBREAK (SUM),True,False
qc2t.6,RISKS PERS MOST EXPOSED TO: FLOODS (SUM),True,False
qc2t.7,RISKS PERS MOST EXPOSED TO: WILDFIRE/FOREST FIRES (SUM),True,False
qc2t.8,RISKS PERS MOST EXPOSED TO: GEOLOGICAL DISASTERS (SUM),True,False
qc2t.9,RISKS PERS MOST EXPOSED TO: EXTREME WEATHER EVENTS (SUM),True,False
qc2t.10,RISKS PERS MOST EXPOSED TO: TERRORIST ATTACKS (SUM),True,False
qc2t.11,RISKS PERS MOST EXPOSED TO: CYBERSECURITY THREATS (SUM),True,False
qc2t.12,RISKS PERS MOST EXPOSED TO: POLITICAL/GEO-POLITICAL TENSIONS (SUM),True,False
qc2t.13,RISKS PERS MOST EXPOSED TO: MASS POPULATION DISPLACEMENT IN EMERGENCIES (SUM),True,False
qc2t.14,RISKS PERS MOST EXPOSED TO: OTHER (SUM),True,False
qc2t.15,RISKS PERS MOST EXPOSED TO: DK (SPONT) (QC2A ONLY),True,False
qc2t,RISKS PERS MOST EXPOSED TO - NUMBER OF MENTIONED RISKS,True,False
qc3.1,DISASTER PERS EXPERIENCED PAST 10YRS: MAJOR ACCIDENTS,True,False
qc3.2,DISASTER PERS EXPERIENCED PAST 10YRS: NUCLEAR ACCIDENTS,True,False
qc3.3,DISASTER PERS EXPERIENCED PAST 10YRS: CRIT INFRASTRUCTURE DISRUPTION,True,False
qc3.4,DISASTER PERS EXPERIENCED PAST 10YRS: HUMAN HEALTH EMERGENCY,True,False
qc3.5,DISASTER PERS EXPERIENCED PAST 10YRS: ANIMAL/PLANT DISEASE OUTBREAK,True,False
qc3.6,DISASTER PERS EXPERIENCED PAST 10YRS: FLOODS,True,False
qc3.7,DISASTER PERS EXPERIENCED PAST 10YRS: WILDFIRE/FOREST FIRES,True,False
qc3.8,DISASTER PERS EXPERIENCED PAST 10YRS: GEOLOGICAL DISASTERS,True,False
qc3.9,DISASTER PERS EXPERIENCED PAST 10YRS: EXTREME WEATHER EVENTS,True,False
qc3.10,DISASTER PERS EXPERIENCED PAST 10YRS: TERRORIST ATTACKS,True,False
qc3.11,DISASTER PERS EXPERIENCED PAST 10YRS: CYBERSECURITY THREATS,True,False
qc3.12,DISASTER PERS EXPERIENCED PAST 10YRS: POLITICAL/GEO-POLITICAL TENSIONS,True,False
qc3.13,DISASTER PERS EXPERIENCED PAST 10YRS: MASS POPULATION DISPLACEMENT IN EMERGENCIES,True,False
qc3.14,DISASTER PERS EXPERIENCED PAST 10YRS: OTHER,True,False
qc3.15,DISASTER PERS EXPERIENCED PAST 10YRS: NONE,True,False
qc3.16,DISASTER PERS EXPERIENCED PAST 10YRS: DK (SPONT),True,False
qc3t,DISASTER PERS EXPERIENCED PAST 10YRS - NUMBER OF DISASTERS,True,False
qc4a,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS - FIRSTLY,True,False
qc4b.1,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: NATIONAL MEDIA,True,False
qc4b.2,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: LOCAL/REGIONAL MEDIA,True,False
qc4b.3,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: SOCIAL MEDIA NETWORKS,True,False
qc4b.4,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: EMERGENCY MGMT SERVICES,True,False
qc4b.5,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: LOCAL/NATIONAL AUTHORITIES/AGENCIES,True,False
qc4b.6,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: FAMILY/FRIENDS,True,False
qc4b.7,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: WORK/EMPLOYER/SCHOOL/EDU INSTITUTION,True,False
qc4b.8,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: CIVIL SOC ORGS/NON-PROFIT ORGS,True,False
qc4b.9,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: SCIENTISTS/ACADEMIC ORGS,True,False
qc4b.10,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: OTHER (SPONT),True,False
qc4b.11,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: NOT INTERESTED,True,False
qc4b.12,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS 2ND: DK (SPONT),True,False
qc4t.1,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: NATIONAL MEDIA (SUM),True,False
qc4t.2,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: LOCAL/REGIONAL MEDIA (SUM),True,False
qc4t.3,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: SOCIAL MEDIA NETWORKS (SUM),True,False
qc4t.4,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: EMERGENCY MGMT SERVICES (SUM),True,False
qc4t.5,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: LOCAL/NATIONAL AUTHORITIES/AGENCIES (SUM),True,False
qc4t.6,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: FAMILY/FRIENDS (SUM),True,False
qc4t.7,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: WORK/EMPLOYER/SCHOOL/EDU INSTITUTION (SUM),True,False
qc4t.8,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: CIVIL SOC ORGS/NON-PROFIT ORGS (SUM),True,False
qc4t.9,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: SCIENTISTS/ACADEMIC ORGS (SUM),True,False
qc4t.10,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: OTHER (SPONT) (SUM),True,False
qc4t.11,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: NOT INTERESTED (QC4A ONLY),True,False
qc4t.12,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS: DK (SPONT) (QC4A ONLY),True,False
qc4_r,POT INFO SOURCES TO LEARN ABOUT DISASTER RISKS - INTERESTED IN AT LEAST ONE SOURCE,True,False
qc5_1,STATEMENTS DISASTER RISKS - READ/SEENHEARD INFO IN LAST 12M,True,True
qc5_2,STATEMENTS DISASTER RISKS - FEEL WELL INFORMED,True,True
qc5_3,STATEMENTS DISASTER RISKS - TRUST INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,True,True
qc5_4,STATEMENTS DISASTER RISKS - EASY TO FIND INFORMATION BY PUB AUTH ON RISKS WHERE YOU LIVE,True,True
qc5_5,STATEMENTS DISASTER RISKS - KNOW WHERE TO FIND INFO WHEN TRAVELLING TO OTH EU CNTRY,True,True
qc6.1,DISASTER MEASURES IN HH: EMERGENCY SUPPLY DRINKS/FOOD,True,True
qc6.2,DISASTER MEASURES IN HH: EMERGENCY SUPPLY WATER COOKING/HYGIENE,True,True
qc6.3,DISASTER MEASURES IN HH: FLASHLIGHT/CANDLES,True,True
qc6.4,DISASTER MEASURES IN HH: BATTERY-POWERED RADIO,True,True
qc6.5,DISASTER MEASURES IN HH: EMERGENCY PHARMACY,True,True
qc6.6,DISASTER MEASURES IN HH: COPIES IMP DOCUMENTS/STORED SAFELY,True,True
qc6.7,DISASTER MEASURES IN HH: EMERGENCY GRAB-BAG,True,True
qc6.8,DISASTER MEASURES IN HH: SIGNED UP FOR ALERTS,True,True
qc6.9,DISASTER MEASURES IN HH: PARTICIPATED IN TRAINING/EXERCISE,True,True
qc6.10,DISASTER MEASURES IN HH: INFORMED ABOUT OFFICIAL RESPONSE PLAN,True,True
qc6.11,DISASTER MEASURES IN HH: AGREED WITH FRIENDS/FAMILY TO CONTACT,True,True
qc6.12,DISASTER MEASURES IN HH: DISCUSSED COMMON PROT MEASURES IN NEIGHBOURHOOD,True,True
qc6.13,DISASTER MEASURES IN HH: INVESTED IN PROT MEASURES IN HOME,True,True
qc6.14,DISASTER MEASURES IN HH: OTHER,True,True
qc6.15,DISASTER MEASURES IN HH: DK (SPONT),True,True
qc6t,DISASTER MEASURES IN HH - NUMBER OF MEASURES,True,True
qc7_1,HOW MANY DAYS MEET WATER NEEDS IF WATER SERVICES DISRUPTED,True,True
qc7_2,HOW MANY DAYS POWER ESSENT APPLIANCES IF ELEC INTERRUPTED,True,True
qc7_3,HOW MANY DAYS COOK MEALS/HEAT IF GAS DISRUPTED,True,True
qc7_4,HOW MANY DAYS PROVIDE FOOD IF TRANSPORTATION DISRUPTED,True,True
qc7_5,HOW MANY DAYS CONTINUED TREATMENT IF MEDICATION SUPPLY DISRUPTED,True,True
qc8_1,PERSONAL DISASTER PREPAREDNESS - BETTER ABLE TO COPE BY PREP,True,True
qc8_2,PERSONAL DISASTER PREPAREDNESS - FEEL WELL PREPARED,True,True
qc8_3,PERSONAL DISASTER PREPAREDNESS - NO TIME/FIN RESOURCES TO PREP,True,True
qc8_4,PERSONAL DISASTER PREPAREDNESS - EASY TO FIND INFO ON HOW TO PREP,True,True
qc8_5,PERSONAL DISASTER PREPAREDNESS - NEED MORE INFO TO PREP,True,True
qc8_6,PERSONAL DISASTER PREPAREDNESS - KNOW HOW EMERG SERVICES WILL ALERT,True,True
qc8_7,PERSONAL DISASTER PREPAREDNESS - KNOW WHAT TO DO IN EVENT OF DISASTER,True,True
qc8_8,PERSONAL DISASTER PREPAREDNESS - EMPLOYER/SCHOOL ENCOURAGES TRAINING/PREP,True,True
qc8_9,PERSONAL DISASTER PREPAREDNESS - EMERG SERVICES ENCOURAGE TRAINING/PREP,True,True
qc9_1,RELYING ON IN FIRST DAYS OF DISASTER - FAMILY/FRIENDS,True,False
qc9_2,RELYING ON IN FIRST DAYS OF DISASTER - PEOPLE IN NEIGHBOURHOOD,True,False
qc9_3,RELYING ON IN FIRST DAYS OF DISASTER - ASSOCS/NON-PROFIT ORGS,True,False
qc9_4,RELYING ON IN FIRST DAYS OF DISASTER - EMERG SERVICES,True,False
qc9_5,RELYING ON IN FIRST DAYS OF DISASTER - LOCAL AUTH/GVMT SERVICES,True,False
qc9_6,RELYING ON IN FIRST DAYS OF DISASTER - WORK/EMPLOYER/SCHOOL/EDU INSTITUTION,True,False
qc9_7,RELYING ON IN FIRST DAYS OF DISASTER - PRIVATE SECTOR ENTITIES,True,False
qc10,TRUST IN EMERG SERVICES TO HANDLE DISASTERS/EMERG SITUATIONS PROPERLY,True,False
qc11,ENGAGING IN VOLUNTARY WORK FOR EMERG RESPONDER ORGS,True,False
qd1_1,PUBLIC SERVICE BRIBERY ACCEPTANCE: MONEY,True,False
qd1_2,PUBLIC SERVICE BRIBERY ACCEPTANCE: GIFT,True,False
qd1_3,PUBLIC SERVICE BRIBERY ACCEPTANCE: FAVOUR,True,False
qd1t,TOLERANCE INDEX TO CORRUPTION,True,False
qd2,CORRUPTION - EXTENT IN COUNTRY,True,False
qd3,CORRUPTION - LEVEL IN PAST THREE YEARS,True,False
qd4.1,CORRUPTION IN COUNTRY: POLICE/CUSTOMS,True,False
qd4.2,CORRUPTION IN COUNTRY: TAX AUTHORITIES,True,False
qd4.3,CORRUPTION IN COUNTRY: COURTS/TRIBUNALS,True,False
qd4.4,CORRUPTION IN COUNTRY: SOCIAL SECURITY,True,False
qd4.5,CORRUPTION IN COUNTRY: PUBLIC PROSECUTION,True,False
qd4.6,CORRUPTION IN COUNTRY: POLITICIANS,True,False
qd4.7,CORRUPTION IN COUNTRY: POLITICAL PARTIES,True,False
qd4.8,CORRUPTION IN COUNTRY: PUBLIC TENDERS,True,False
qd4.9,CORRUPTION IN COUNTRY: BUILDING PERMITS,True,False
qd4.10,CORRUPTION IN COUNTRY: BUSINESS PERMITS,True,False
qd4.11,CORRUPTION IN COUNTRY: HEALTHCARE SYSTEM,True,False
qd4.12,CORRUPTION IN COUNTRY: EDUCATION SECTOR,True,False
qd4.13,CORRUPTION IN COUNTRY: INSPECTORS,True,False
qd4.14,CORRUPTION IN COUNTRY: PRIVATE COMPANIES,True,False
qd4.15,CORRUPTION IN COUNTRY: FINANCIAL INST,True,False
qd4.16,CORRUPTION IN COUNTRY: NONE (SPONT),True,False
qd4.17,CORRUPTION IN COUNTRY: DK (SPONT),True,False
qd5,PERSONALLY KNOW SOMEONE TAKING BRIBES,True,False
qd6a.1,CONTACT LST12M: POLICE/CUSTOMS,True,False
qd6a.2,CONTACT LST12M: TAX AUTHORITIES,True,False
qd6a.3,CONTACT LST12M: COURTS/TRIBUNALS,True,False
qd6a.4,CONTACT LST12M: SOCIAL SECURITY,True,False
qd6a.5,CONTACT LST12M: PUBLIC PROSECUTION,True,False
qd6a.6,CONTACT LST12M: POLITICIANS,True,False
qd6a.7,CONTACT LST12M: POLITICAL PARTIES,True,False
qd6a.8,CONTACT LST12M: PUBLIC TENDERS,True,False
qd6a.9,CONTACT LST12M: BUILDING PERMITS,True,False
qd6a.10,CONTACT LST12M: BUSINESS PERMITS,True,False
qd6a.11,CONTACT LST12M: HEALTHCARE SYSTEM,True,False
qd6a.12,CONTACT LST12M: EDUCATION SECTOR,True,False
qd6a.13,CONTACT LST12M: INSPECTORS,True,False
qd6a.14,CONTACT LST12M: PRIVATE COMPANIES,True,False
qd6a.15,CONTACT LST12M: FINANCIAL INST,True,False
qd6a.16,CONTACT LST12M: NONE (SPONT),True,False
qd6a.17,CONTACT LST12M: REFUSAL (SPONT),True,False
qd6a.18,CONTACT LST12M: DK (SPONT),True,False
qd6b.1,BRIBE EXPERIENCE LST12M: POLICE/CUSTOMS,True,False
qd6b.2,BRIBE EXPERIENCE LST12M: TAX AUTHORITIES,True,False
qd6b.3,BRIBE EXPERIENCE LST12M: COURTS/TRIBUNALS,True,False
qd6b.4,BRIBE EXPERIENCE LST12M: SOCIAL SECURITY,True,False
qd6b.5,BRIBE EXPERIENCE LST12M: PUBLIC PROSECUTION,True,False
qd6b.6,BRIBE EXPERIENCE LST12M: POLITICIANS,True,False
qd6b.7,BRIBE EXPERIENCE LST12M: POLITICAL PARTIES,True,False
qd6b.8,BRIBE EXPERIENCE LST12M: PUBLIC TENDERS,True,False
qd6b.9,BRIBE EXPERIENCE LST12M: BUILDING PERMITS,True,False
qd6b.10,BRIBE EXPERIENCE LST12M: BUSINESS PERMITS,True,False
qd6b.11,BRIBE EXPERIENCE LST12M: HEALTHCARE SYSTEM,True,False
qd6b.12,BRIBE EXPERIENCE LST12M: EDUCATION SECTOR,True,False
qd6b.13,BRIBE EXPERIENCE LST12M: INSPECTORS,True,False
qd6b.14,BRIBE EXPERIENCE LST12M: PRIVATE COMPANIES,True,False
qd6b.15,BRIBE EXPERIENCE LST12M: FINANCIAL INST,True,False
qd6b.16,BRIBE EXPERIENCE LST12M: NONE (SPONT),True,False
qd6b.17,BRIBE EXPERIENCE LST12M: REFUSAL (SPONT),True,False
qd6b.18,BRIBE EXPERIENCE LST12M: DK (SPONT),True,False
qd6b_t,BRIBE EXPERIENCE LST12M - YES (SUM),True,False
qd6c.1,BRIBE AMOUNT IN EURO: POLICE/CUSTOMS,True,False
qd6c.2,BRIBE AMOUNT IN EURO: TAX AUTHORITIES,True,False
qd6c.3,BRIBE AMOUNT IN EURO: COURTS/TRIBUNALS,True,False
qd6c.4,BRIBE AMOUNT IN EURO: SOCIAL SECURITY,True,False
qd6c.5,BRIBE AMOUNT IN EURO: PUBLIC PROSECUTION,True,False
qd6c.6,BRIBE AMOUNT IN EURO: POLITICIANS,True,False
qd6c.7,BRIBE AMOUNT IN EURO: POLITICAL PARTIES,True,False
qd6c.8,BRIBE AMOUNT IN EURO: PUBLIC TENDERS,True,False
qd6c.9,BRIBE AMOUNT IN EURO: BUILDING PERMITS,True,False
qd6c.10,BRIBE AMOUNT IN EURO: BUSINESS PERMITS,True,False
qd6c.11,BRIBE AMOUNT IN EURO: HEALTHCARE SYSTEM,True,False
qd6c.12,BRIBE AMOUNT IN EURO: EDUCATION SECTOR,True,False
qd6c.13,BRIBE AMOUNT IN EURO: INSPECTORS,True,False
qd6c.14,BRIBE AMOUNT IN EURO: PRIVATE COMPANIES,True,False
qd6c.15,BRIBE AMOUNT IN EURO: FINANCIAL INST,True,False
qd7,CORRUPTION - KNOW WHERE TO REPORT TO,True,False
qd8.1,CORRUPTION COMPLAIN TO: POLICE,True,False
qd8.2,CORRUPTION COMPLAIN TO: JUSTICE,True,False
qd8.3,CORRUPTION COMPLAIN TO: NGO OR OTHER ASSOC,True,False
qd8.4,CORRUPTION COMPLAIN TO: MEDIA/NEWSP/JOURNALISTS,True,False
qd8.5,CORRUPTION COMPLAIN TO: NATIONAL OMBUDSMAN,True,False
qd8.6,CORRUPTION COMPLAIN TO: POLIT REPRESENTATIVE,True,False
qd8.7,CORRUPTION COMPLAIN TO: ANTI-CORRUPTION AGENCY,True,False
qd8.8,CORRUPTION COMPLAIN TO: TRADE UNIONS,True,False
qd8.9,CORRUPTION COMPLAIN TO: EU INSTITUTIONS,True,False
qd8.10,CORRUPTION COMPLAIN TO: OTHER (SPONT),True,False
qd8.11,CORRUPTION COMPLAIN TO: NONE (SPONT),True,False
qd8.12,CORRUPTION COMPLAIN TO: DK (SPONT),True,False
qd9.1,CORRUPTION EXPERIENCE LST12M: EXPERIENCED,True,False
qd9.2,CORRUPTION EXPERIENCE LST12M: WITNESSED,True,False
qd9.3,CORRUPTION EXPERIENCE LST12M: NO,True,False
qd9.4,CORRUPTION EXPERIENCE LST12M: REFUSAL (SPONT),True,False
qd9.5,CORRUPTION EXPERIENCE LST12M: DK (SPONT),True,False
qd9t,CORRUPTION EXPERIENCE LST12M - TOTAL YES (SUM),True,False
qd10,CORRUPTION EXPERIENCE LST12M - REPORTED,True,False
qd11.1,CORRUPTION NON-REPORTING: NOT KNOW WHERE,True,False
qd11.2,CORRUPTION NON-REPORTING: DIFFICULT TO PROVE,True,False
qd11.3,CORRUPTION NON-REPORTING: NO PUNISHMENT,True,False
qd11.4,CORRUPTION NON-REPORTING: GETTING IN TROUBLE,True,False
qd11.5,CORRUPTION NON-REPORTING: NO ONE DOES,True,False
qd11.6,CORRUPTION NON-REPORTING: NOT WORTH THE EFFORT,True,False
qd11.7,CORRUPTION NON-REPORTING: NO PROTECTION,True,False
qd11.8,CORRUPTION NON-REPORTING: NOT BETRAY ANYONE,True,False
qd11.9,CORRUPTION NON-REPORTING: OTHER (SPONT),True,False
qd11.10,CORRUPTION NON-REPORTING: NONE (SPONT),True,False
qd11.11,CORRUPTION NON-REPORTING: DK (SPONT),True,False
qd12_1,CORRUPTION: IN LOCAL/REG PUBLIC INSTITUTIONS,True,False
qd12_2,CORRUPTION: IN NATIONAL PUBLIC INSTITUTIONS,True,False
qd12_3,CORRUPTION: PART OF BUSINESS CULTURE,True,False
qd12_4,CORRUPTION: PERS AFFECTED IN DAILY LIFE,True,False
qd12_5,CORRUPTION: ENOUGH SUCCESSFUL PROSECUTIONS,True,False
qd12_6,CORRUPTION: HIGH-LEVEL CASES NOT PURSUED,True,False
qd12_7,CORRUPTION: GOVERNMENT EFFORTS ARE EFFECTIVE,True,False
qd12_8,CORRUPTION: BUSINESS AND POLITICS TOO CLOSE,True,False
qd12_9,CORRUPTION: BRIBERY OFTEN THE EASIEST WAY,True,False
qd12_10,CORRUPTION: POLIT PARTY FINANCING SUPERVISION,True,False
qd12_11,CORRUPTION: POLIT CONNECTIONS FOR BUSINESS,True,False
qd12_12,CORRUPTION: HINDERING BUSINESS COMPETITION,True,False
qd12_13,CORRUPTION: MEASURES ARE APPLIED IMPARTIALLY,True,False
d8,AGE EDUCATION,True,False
d8r1,AGE EDUCATION (RECODED 11 CAT),True,False
d8r2,AGE EDUCATION (RECODED 5 CAT),True,False
d9a.1,EDUCATION LEVEL: PRE-PRIMARY EDUCATION (INCL NO EDUCATION),True,False
d9a.2,EDUCATION LEVEL: PRIMARY EDUCATION,True,False
d9a.3,EDUCATION LEVEL: LOWER SECONDARY EDUCATION,True,False
d9a.4,EDUCATION LEVEL: UPPER SECONDARY EDUCATION,True,False
d9a.5,EDUCATION LEVEL: POST-SECONDARY NON TERTIARY (INCL PRE-VOCATIONAL/VOCATIONAL),True,False
d9a.6,EDUCATION LEVEL: SHORT-CYCLE TERTIARY,True,False
d9a.7,EDUCATION LEVEL: BACHELOR OR EQUIVALENT,True,False
d9a.8,EDUCATION LEVEL: MASTER OR EQUIVALENT,True,False
d9a.9,EDUCATION LEVEL: DOCTORAL OR EQUIVALENT,True,False
d9a.10,EDUCATION LEVEL: EDUCATION UP TO ISCED 4 COMPLETED ABROAD (SPONTANEOUS),True,False
d9a.11,EDUCATION LEVEL: EDUCATION ISCED 5 AND ABOVE COMPLETED ABROAD (SPONTANEOUS),True,False
d9a.12,EDUCATION LEVEL: REFUSAL (SPONTANEOUS),True,False
d9a.13,EDUCATION LEVEL: DON'T KNOW (SPONTANEOUS),True,False
d10,GENDER,True,True
d15a,OCCUPATION OF RESPONDENT,True,False
d15a_r1,OCCUPATION OF RESPONDENT (RECODED),True,False
d15a_r2,RESPONDENT OCCUPATION SCALE (C14),True,False
d15b,OCCUPATION OF RESPONDENT - LAST JOB,True,False
d15b_r,OCCUPATION OF RESPONDENT - LAST JOB (RECODED),True,False
d25,TYPE OF COMMUNITY,True,True
